age,d18o
8.95,-35.22
9,-35.22
9,-34.78
9.05,-34.78
9.05,-34.49
9.1,-34.49
9.1,-34.81
9.15,-34.81
9.15,-35.48
9.2,-35.48
9.2,-35.41
9.25,-35.41
9.25,-34.78
9.3,-34.78
9.3,-34.87
9.35,-34.87
9.35,-35.12
9.4,-35.12
9.4,-34.83
9.45,-34.83
9.45,-34.91
9.5,-34.91
9.5,-34.86
9.55,-34.86
9.55,-34.86
9.6,-34.86
9.6,-34.7
9.65,-34.7
9.65,-34.64
9.7,-34.64
9.7,-35.15
9.75,-35.15
9.75,-34.99
9.8,-34.99
9.8,-35.13
9.85,-35.13
9.85,-34.93
9.9,-34.93
9.9,-35.29
9.95,-35.29
9.95,-35.25
10,-35.25
10,-35.24
10.05,-35.24
10.05,-35.38
10.1,-35.38
10.1,-36.27
10.15,-36.27
10.15,-35.73
10.2,-35.73
10.2,-36.18
10.25,-36.18
10.25,-36.22
10.3,-36.22
10.3,-36.09
10.35,-36.09
10.35,-35.7
10.4,-35.7
10.4,-35.9
10.45,-35.9
10.45,-36.3
10.5,-36.3
10.5,-35.62
10.55,-35.62
10.55,-36.17
10.6,-36.17
10.6,-36.31
10.65,-36.31
10.65,-36.54
10.7,-36.54
10.7,-37.36
10.75,-37.36
10.75,-37.23
10.8,-37.23
10.8,-36.99
10.85,-36.99
10.85,-36.7
10.9,-36.7
10.9,-36.78
10.95,-36.78
10.95,-36.73
11,-36.73
11,-37.48
11.05,-37.48
11.05,-36.51
11.1,-36.51
11.1,-36.96
11.15,-36.96
11.15,-37.44
11.2,-37.44
11.2,-37.98
11.25,-37.98
11.25,-38.03
11.3,-38.03
11.3,-37.13
11.35,-37.13
11.35,-36.77
11.4,-36.77
11.4,-36.7
11.45,-36.7
11.45,-38.99
11.5,-38.99
11.5,-40.22
11.55,-40.22
11.55,-40.22
11.6,-40.22
11.6,-39.71
11.65,-39.71
11.65,-40.84
11.7,-40.84
11.7,-41.04
11.75,-41.04
11.75,-40.41
11.8,-40.41
11.8,-39.95
11.85,-39.95
11.85,-41.22
11.9,-41.22
11.9,-41.38
11.95,-41.38
11.95,-40.63
12,-40.63
12,-40.39
12.05,-40.39
12.05,-40.76
12.1,-40.76
12.1,-41.37
12.15,-41.37
12.15,-40.97
12.2,-40.97
12.2,-41.06
12.25,-41.06
12.25,-40.54
12.3,-40.54
12.3,-40.82
12.35,-40.82
12.35,-41.67
12.4,-41.67
12.4,-41.11
12.45,-41.11
12.45,-42.21
12.5,-42.21
12.5,-40.86
12.55,-40.86
12.55,-40.18
12.6,-40.18
12.6,-39.53
12.65,-39.53
12.65,-39.03
12.7,-39.03
12.7,-38.76
12.75,-38.76
12.75,-39.38
12.8,-39.38
12.8,-39.88
12.85,-39.88
12.85,-40.07
12.9,-40.07
12.9,-41.07
12.95,-41.07
12.95,-40.05
13,-40.05
13,-40.2
13.05,-40.2
13.05,-39.07
13.1,-39.07
13.1,-39.19
13.15,-39.19
13.15,-38.57
13.2,-38.57
13.2,-38.44
13.25,-38.44
13.25,-38.61
13.3,-38.61
13.3,-38.01
13.35,-38.01
13.35,-38.52
13.4,-38.52
13.4,-39.25
13.45,-39.25
13.45,-39.77
13.5,-39.77
13.5,-38.74
13.55,-38.74
13.55,-38.25
13.6,-38.25
13.6,-39.08
13.65,-39.08
13.65,-38.38
13.7,-38.38
13.7,-38.08
13.75,-38.08
13.75,-38.39
13.8,-38.39
13.8,-39.46
13.85,-39.46
13.85,-40.11
13.9,-40.11
13.9,-39.71
13.95,-39.71
13.95,-38.25
14,-38.25
14,-38.14
14.05,-38.14
14.05,-37.89
14.1,-37.89
14.1,-37.59
14.15,-37.59
14.15,-37.21
14.2,-37.21
14.2,-37.17
14.25,-37.17
14.25,-36.95
14.3,-36.95
14.3,-37.29
14.35,-37.29
14.35,-36.26
14.4,-36.26
14.4,-36.25
14.45,-36.25
14.45,-36.4
14.5,-36.4
14.5,-37.47
14.55,-37.47
14.55,-40.06
14.6,-40.06
14.6,-41.75
14.65,-41.75
14.65,-40.58
14.7,-40.58
14.7,-41.6
14.75,-41.6
14.75,-41.13
14.8,-41.13
14.8,-41.56
14.85,-41.56
14.85,-42.31
14.9,-42.31
14.9,-42.03
14.95,-42.03
14.95,-42.06
15,-42.06
15,-42.01
15.05,-42.01
15.05,-42.23
15.1,-42.23
15.1,-42.55
15.15,-42.55
15.15,-40.78
15.2,-40.78
15.2,-42.38
15.25,-42.38
15.25,-42
15.3,-42
15.3,-42.55
15.35,-42.55
15.35,-43.48
15.4,-43.48
15.4,-42.76
15.45,-42.76
15.45,-41.94
15.5,-41.94
15.5,-43.63
15.55,-43.63
15.55,-43.29
15.6,-43.29
15.6,-41.41
15.65,-41.41
15.65,-41.92
15.7,-41.92
15.7,-41.69
15.75,-41.69
15.75,-41.88
15.8,-41.88
15.8,-41.53
15.85,-41.53
15.85,-43.56
15.9,-43.56
15.9,-42.18
15.95,-42.18
15.95,-42.41
16,-42.41
16,-41.45
16.05,-41.45
16.05,-42.01
16.1,-42.01
16.1,-41.61
16.15,-41.61
16.15,-41.68
16.2,-41.68
16.2,-40.8
16.25,-40.8
16.25,-41
16.3,-41
16.3,-41.82
16.35,-41.82
16.35,-41.36
16.4,-41.36
16.4,-41.17
16.45,-41.17
16.45,-40.44
16.5,-40.44
16.5,-40.31
16.55,-40.31
16.55,-41.9
16.6,-41.9
16.6,-41.28
16.65,-41.28
16.65,-40.42
16.7,-40.42
16.7,-40.42
16.75,-40.42
16.75,-40.45
16.8,-40.45
16.8,-40.99
16.85,-40.99
16.85,-40.76
16.9,-40.76
16.9,-41.02
16.95,-41.02
16.95,-42.02
17,-42.02
17,-41.14
17.05,-41.14
17.05,-40.27
17.1,-40.27
17.1,-40.18
17.15,-40.18
17.15,-41.44
17.2,-41.44
17.2,-40.66
17.25,-40.66
17.25,-41.15
17.3,-41.15
17.3,-41.88
17.35,-41.88
17.35,-42.16
17.4,-42.16
17.4,-42.6
17.45,-42.6
17.45,-41.8
17.5,-41.8
17.5,-42.53
17.55,-42.53
17.55,-41.83
17.6,-41.83
17.6,-41.35
17.65,-41.35
17.65,-42.07
17.7,-42.07
17.7,-42.47
17.75,-42.47
17.75,-42.63
17.8,-42.63
17.8,-42.35
17.85,-42.35
17.85,-42.25
17.9,-42.25
17.9,-41.69
17.95,-41.69
17.95,-40.73
18,-40.73
18,-41.66
18.05,-41.66
18.05,-40.93
18.1,-40.93
18.1,-41.45
18.15,-41.45
18.15,-42.09
18.2,-42.09
18.2,-41.28
18.25,-41.28
18.25,-41.04
18.3,-41.04
18.3,-41.89
18.35,-41.89
18.35,-41.32
18.4,-41.32
18.4,-42.19
18.45,-42.19
18.45,-41.71
18.5,-41.71
18.5,-42.34
18.55,-42.34
18.55,-42.48
18.6,-42.48
18.6,-42.31
18.65,-42.31
18.65,-41.37
18.7,-41.37
18.7,-42.18
18.75,-42.18
18.75,-42.82
18.8,-42.82
18.8,-41.26
18.85,-41.26
18.85,-41.97
18.9,-41.97
18.9,-41.52
18.95,-41.52
18.95,-41.13
19,-41.13
19,-41.05
19.05,-41.05
19.05,-41.36
19.1,-41.36
19.1,-42.82
19.15,-42.82
19.15,-40.88
19.2,-40.88
19.2,-40.98
19.25,-40.98
19.25,-42.6
19.3,-42.6
19.3,-41.77
19.35,-41.77
19.35,-42.57
19.4,-42.57
19.4,-42.18
19.45,-42.18
19.45,-42.22
19.5,-42.22
19.5,-41.73
19.55,-41.73
19.55,-42.29
19.6,-42.29
19.6,-42.01
19.65,-42.01
19.65,-42.9
19.7,-42.9
19.7,-43.2
19.75,-43.2
19.75,-43.34
19.8,-43.34
19.8,-42.38
19.85,-42.38
19.85,-42.76
19.9,-42.76
19.9,-43.87
19.95,-43.87
19.95,-42.03
20,-42.03
20,-41.01
20.05,-41.01
20.05,-41.79
20.1,-41.79
20.1,-42.28
20.15,-42.28
20.15,-42.11
20.2,-42.11
20.2,-42.7
20.25,-42.7
20.25,-42.49
20.3,-42.49
20.3,-42.75
20.35,-42.75
20.35,-44.28
20.4,-44.28
20.4,-42.61
20.45,-42.61
20.45,-43.15
20.5,-43.15
20.5,-42.06
20.55,-42.06
20.55,-42.96
20.6,-42.96
20.6,-43.29
20.65,-43.29
20.65,-42.14
20.7,-42.14
20.7,-42.41
20.75,-42.41
20.75,-42.77
20.8,-42.77
20.8,-42.07
20.85,-42.07
20.85,-43.05
20.9,-43.05
20.9,-42.14
20.95,-42.14
20.95,-41.71
21,-41.71
21,-42.65
21.05,-42.65
21.05,-42.95
21.1,-42.95
21.1,-43.75
21.15,-43.75
21.15,-42.91
21.2,-42.91
21.2,-43.28
21.25,-43.28
21.25,-42.36
21.3,-42.36
21.3,-41.85
21.35,-41.85
21.35,-42.83
21.4,-42.83
21.4,-41.87
21.45,-41.87
21.45,-42.03
21.5,-42.03
21.5,-41.59
21.55,-41.59
21.55,-41.56
21.6,-41.56
21.6,-42.14
21.65,-42.14
21.65,-42.34
21.7,-42.34
21.7,-42.9
21.75,-42.9
21.75,-42.4
21.8,-42.4
21.8,-42.31
21.85,-42.31
21.85,-43.01
21.9,-43.01
21.9,-42.24
21.95,-42.24
21.95,-42.38
22,-42.38
22,-43.48
22.05,-43.48
22.05,-41.22
22.1,-41.22
22.1,-41.2
22.15,-41.2
22.15,-42.49
22.2,-42.49
22.2,-41.87
22.25,-41.87
22.25,-41.18
22.3,-41.18
22.3,-42.27
22.35,-42.27
22.35,-42.11
22.4,-42.11
22.4,-42.76
22.45,-42.76
22.45,-42.47
22.5,-42.47
22.5,-41.76
22.55,-41.76
22.55,-41.07
22.6,-41.07
22.6,-39.76
22.65,-39.76
22.65,-41.92
22.7,-41.92
22.7,-43.46
22.75,-43.46
22.75,-42
22.8,-42
22.8,-43.68
22.85,-43.68
22.85,-43.61
22.9,-43.61
22.9,-43.77
22.95,-43.77
22.95,-43.67
23,-43.67
23,-44.07
23.05,-44.07
23.05,-43.12
23.1,-43.12
23.1,-43.72
23.15,-43.72
23.15,-44.19
23.2,-44.19
23.2,-43.53
23.25,-43.53
23.25,-43.57
23.3,-43.57
23.3,-42.65
23.35,-42.65
23.35,-43.14
23.4,-43.14
23.4,-43.74
23.45,-43.74
23.45,-43.55
23.5,-43.55
23.5,-43.82
23.55,-43.82
23.55,-44.32
23.6,-44.32
23.6,-43.8
23.65,-43.8
23.65,-42.62
23.7,-42.62
23.7,-43.54
23.75,-43.54
23.75,-43.41
23.8,-43.41
23.8,-43.5
23.85,-43.5
23.85,-43.2
23.9,-43.2
23.9,-42.7
23.95,-42.7
23.95,-43.6
24,-43.6
24,-44.23
24.05,-44.23
24.05,-43.04
24.1,-43.04
24.1,-43.84
24.15,-43.84
24.15,-44.06
24.2,-44.06
24.2,-43.89
24.25,-43.89
24.25,-44.49
24.3,-44.49
24.3,-42.67
24.35,-42.67
24.35,-42.74
24.4,-42.74
24.4,-43.43
24.45,-43.43
24.45,-44.21
24.5,-44.21
24.5,-43.39
24.55,-43.39
24.55,-42.79
24.6,-42.79
24.6,-44
24.65,-44
24.65,-43.45
24.7,-43.45
24.7,-42.93
24.75,-42.93
24.75,-44.13
24.8,-44.13
24.8,-44.86
24.85,-44.86
24.85,-42.36
24.9,-42.36
24.9,-43.39
24.95,-43.39
24.95,-43.44
25,-43.44
25,-44.56
25.05,-44.56
25.05,-44.76
25.1,-44.76
25.1,-44.18
25.15,-44.18
25.15,-43.73
25.2,-43.73
25.2,-44.76
25.25,-44.76
25.25,-44.37
25.3,-44.37
25.3,-43.45
25.35,-43.45
25.35,-43.45
25.4,-43.45
25.4,-44.76
25.45,-44.76
25.45,-42.46
25.5,-42.46
25.5,-43.24
25.55,-43.24
25.55,-42.27
25.6,-42.27
25.6,-42.76
25.65,-42.76
25.65,-43.18
25.7,-43.18
25.7,-42.79
25.75,-42.79
25.75,-42.67
25.8,-42.67
25.8,-42.44
25.85,-42.44
25.85,-42.94
25.9,-42.94
25.9,-43.79
25.95,-43.79
25.95,-45.62
26,-45.62
26,-44.4
26.05,-44.4
26.05,-43.54
26.1,-43.54
26.1,-43.17
26.15,-43.17
26.15,-43.36
26.2,-43.36
26.2,-44.16
26.25,-44.16
26.25,-44.07
26.3,-44.07
26.3,-43.23
26.35,-43.23
26.35,-43.91
26.4,-43.91
26.4,-43.47
26.45,-43.47
26.45,-42.54
26.5,-42.54
26.5,-43.97
26.55,-43.97
26.55,-43.97
26.6,-43.97
26.6,-42.36
26.65,-42.36
26.65,-42.63
26.7,-42.63
26.7,-43.45
26.75,-43.45
26.75,-43.35
26.8,-43.35
26.8,-43.08
26.85,-43.08
26.85,-44.06
26.9,-44.06
26.9,-44.4
26.95,-44.4
26.95,-44.58
27,-44.58
27,-43.61
27.05,-43.61
27.05,-43.03
27.1,-43.03
27.1,-41.42
27.15,-41.42
27.15,-40.72
27.2,-40.72
27.2,-39.62
27.25,-39.62
27.25,-39.4
27.3,-39.4
27.3,-38.37
27.35,-38.37
27.35,-43.2
27.4,-43.2
27.4,-43.72
27.45,-43.72
27.45,-43.82
27.5,-43.82
27.5,-43.85
27.55,-43.85
27.55,-44.84
